ls11cd,la11nm,london_imd_rank,london_imd_decile,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score
E01000001,City of London,4576,10,6.208,0.007,0.01,0.024,-1.654,-2.012,29.472,31.873
E01000002,City of London,4700,10,5.143,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084
E01000003,City of London,2562,6,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535
E01000005,City of London,1325,3,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979
E01000006,Barking and Dagenham,2485,6,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888
E01000007,Barking and Dagenham,962,2,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995
E01000008,Barking and Dagenham,423,1,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233
E01000009,Barking and Dagenham,827,2,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601
E01000010,Barking and Dagenham,868,2,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932
E01000011,Barking and Dagenham,1079,3,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857
E01000012,Barking and Dagenham,639,2,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881
E01000013,Barking and Dagenham,326,1,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424
E01000014,Barking and Dagenham,561,2,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122
E01000015,Barking and Dagenham,749,2,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696
E01000016,Barking and Dagenham,830,2,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95
E01000017,Barking and Dagenham,325,1,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688
E01000018,Barking and Dagenham,781,2,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659
E01000019,Barking and Dagenham,752,2,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826
E01000020,Barking and Dagenham,523,2,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078
E01000021,Barking and Dagenham,334,1,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214
E01000022,Barking and Dagenham,665,2,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435
E01000023,Barking and Dagenham,465,1,36.877,0.228,0.108,22.994,0.033,1.286,45.846,39.968
E01000024,Barking and Dagenham,1241,3,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869
E01000025,Barking and Dagenham,482,1,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042
E01000027,Barking and Dagenham,434,1,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329
E01000028,Barking and Dagenham,256,1,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282
E01000029,Barking and Dagenham,2123,5,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974
E01000030,Barking and Dagenham,365,1,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993
E01000031,Barking and Dagenham,2105,5,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703
E01000032,Barking and Dagenham,1165,3,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369
E01000033,Barking and Dagenham,395,1,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763
E01000034,Barking and Dagenham,544,2,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01
E01000035,Barking and Dagenham,1659,4,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071
E01000036,Barking and Dagenham,2584,6,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612
E01000037,Barking and Dagenham,2790,6,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057
E01000038,Barking and Dagenham,2522,6,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001
E01000039,Barking and Dagenham,2151,5,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527
E01000040,Barking and Dagenham,650,2,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323
E01000041,Barking and Dagenham,802,2,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127
E01000042,Barking and Dagenham,197,1,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75
E01000043,Barking and Dagenham,1407,3,28.075,0.147,0.085,28.946,0.044,0.574,42.921,33.853
E01000044,Barking and Dagenham,1362,3,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13
E01000045,Barking and Dagenham,559,2,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245
E01000046,Barking and Dagenham,1194,3,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26
E01000048,Barking and Dagenham,93,1,44.704,0.341,0.182,26.49,0.495,0.246,49.012,20.578
E01000049,Barking and Dagenham,211,1,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588
E01000050,Barking and Dagenham,641,2,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588
E01000051,Barking and Dagenham,462,1,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521
E01000052,Barking and Dagenham,790,2,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532
E01000053,Barking and Dagenham,260,1,40.044,0.229,0.126,27.703,0.701,1.217,49.479,26.503
E01000054,Barking and Dagenham,1192,3,29.788,0.18,0.096,26.697,0.198,0.514,42.507,31.481
E01000055,Barking and Dagenham,1053,3,30.898,0.211,0.114,27.143,0.126,0.047,43.185,29.369
E01000056,Barking and Dagenham,542,2,35.903,0.197,0.144,25.304,0.455,0.485,51.736,23.506
E01000057,Barking and Dagenham,824,2,32.887,0.196,0.118,31.462,0.097,0.644,43.725,30.046
E01000058,Barking and Dagenham,937,2,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809
E01000059,Barking and Dagenham,878,2,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699
E01000060,Barking and Dagenham,512,2,36.154,0.202,0.129,25.54,0.282,1.109,48.53,24.729
E01000061,Barking and Dagenham,64,1,46.283,0.303,0.186,39.776,1.013,0.145,49.627,15.967
E01000062,Barking and Dagenham,1586,4,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153
E01000063,Barking and Dagenham,784,2,33.371,0.181,0.124,37.624,0.286,0.342,41.886,35.452
E01000064,Barking and Dagenham,588,2,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175
E01000065,Barking and Dagenham,272,1,39.89,0.228,0.173,26.185,0.817,0.324,47.453,29.31
E01000066,Barking and Dagenham,1707,4,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916
E01000067,Barking and Dagenham,2346,5,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711
E01000068,Barking and Dagenham,1735,4,25.603,0.123,0.075,16.187,0.167,0.946,41.502,31.382
E01000069,Barking and Dagenham,3009,7,16.375,0.087,0.07,16.481,-0.626,0.032,31.781,28.36
E01000070,Barking and Dagenham,2337,5,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639
E01000071,Barking and Dagenham,2643,6,18.848,0.13,0.058,14.114,-0.261,-0.155,40.981,22.064
E01000072,Barking and Dagenham,219,1,41.016,0.241,0.138,34.242,0.478,1.197,46.957,30.082
E01000073,Barking and Dagenham,343,1,38.757,0.209,0.135,35.14,0.57,1.346,43.442,23.636
E01000074,Barking and Dagenham,612,2,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806
E01000075,Barking and Dagenham,460,1,36.999,0.196,0.118,36.347,0.136,1.057,44.869,39.815
E01000076,Barking and Dagenham,506,2,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02
E01000077,Barking and Dagenham,217,1,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02
E01000078,Barking and Dagenham,613,2,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091
E01000079,Barking and Dagenham,658,2,34.522,0.227,0.141,24.526,0.045,0.253,48.007,29.325
E01000080,Barking and Dagenham,801,2,33.185,0.19,0.146,26.379,0.445,0.145,45.385,24.492
E01000081,Barking and Dagenham,1091,3,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758
E01000082,Barking and Dagenham,1431,3,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006
E01000083,Barking and Dagenham,668,2,34.377,0.196,0.134,27.072,0.361,0.434,44.245,35.395
