,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area,summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,geometry,density,Unnamed: 0,code,name,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
3,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,E12000007,London,985,985,0,52.0,467,2.1,190738.7605082694,69.0,138.47826086956522,3.666666666666667,1.2308,21.405797101449274,0.300416914830256,"POLYGON ((-0.0732309396132655 51.5100023979362, -0.0755318828233554 51.509735228893476, -0.0761725509284623 51.51047696296156, -0.0764416891508963 51.513432059729304, -0.0800360588387525 51.51567348870067, -0.0791486722620135 51.516322296310456, -0.0782246995441884 51.517488694889636, -0.0773709994842375 51.51739601893452, -0.0759182381452107 51.51589492232342, -0.0758240177201093 51.51582898076455, -0.0739692631581721 51.514452887734, -0.0734469665655164 51.51354770403325, -0.0731913492469038 51.512570588122706, -0.0727648546367047 51.510804873300685, -0.0727278450746468 51.510187859105734, -0.0732309396132655 51.5100023979362))",0.0003617513284459481,3,E01000005,City of London,1325,3,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,1
5,E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1391,1391,0,69.6,612,2.3,198134.8092275883,14.0,62.0,2.571428571428572,1.375833333333333,2.785714285714286,0.4573385518591,"POLYGON ((0.0777409509777612 51.54279167457779, 0.0796484370923052 51.54134147230674, 0.0801151545319967 51.541608671531634, 0.0802531806378726 51.54169875912372, 0.0803439112940382 51.54114743306726, 0.0821023075082017 51.54082063477525, 0.0831249250748293 51.54110823223231, 0.083181742696208 51.54108923773825, 0.0830219938330364 51.54068398402147, 0.0820680367787822 51.539904289292494, 0.0813328231774828 51.539305524665785, 0.0805802689139681 51.538752332533335, 0.0786871483188784 51.539613227640004, 0.0780256370236472 51.53933718074603, 0.0775105072060412 51.53974198564167, 0.0769590735616993 51.539531788374056, 0.0777070722220004 51.53915805001323, 0.0765140597160725 51.538637740630556, 0.075502180463424 51.538402701366515, 0.0752189862849226 51.53950123721903, 0.074731747236771 51.53939840015784, 0.0736138213909008 51.53887015068049, 0.0730424180464356 51.53878852451157, 0.0729687848882505 51.53912580320467, 0.0719086583914993 51.538962430328255, 0.0721685569610422 51.54002739863576, 0.0729510441240775 51.54018053226615, 0.0727166905571609 51.54078133201827, 0.0726254593445287 51.54143251569027, 0.0734986346334574 51.54189928347781, 0.0738519107959418 51.54155275351726, 0.0753608537444728 51.542220629214974, 0.0775972874659022 51.5412258685598, 0.0778320037783388 51.54141792364851, 0.0770298796994807 51.541854796571236, 0.0771172464606722 51.54256514120601, 0.0777409509777612 51.54279167457779))",7.065896222161977e-05,5,E01000007,Barking and Dagenham,962,2,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,1
6,E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1544,1544,0,79.1,521,3.0,193425.09893756744,1.0,170.0,3.0,0.29,1.0,0.991780821917808,"MULTIPOLYGON (((0.071354959380984 51.541694352421715, 0.0722929431210656 51.541660043120274, 0.0731982116630151 51.542214473815754, 0.0734986346369695 51.541899283477456, 0.0726254593434605 51.54143251569127, 0.072716690556984 51.540781332019414, 0.072951044120637 51.54018053226426, 0.0721685569607639 51.54002739863735, 0.0719086583910506 51.53896243032647, 0.0720152488821932 51.538403528880636, 0.072544240892449 51.53771654524351, 0.071344428390268 51.53724979267498, 0.0704273991018066 51.53911542701788, 0.0694975961163066 51.53886834788318, 0.0697840398430927 51.540344153062435, 0.0699060760405666 51.54091058269265, 0.0692432995692275 51.541646972542694, 0.0698973429952746 51.542148827959174, 0.0705843563721352 51.5423702083195, 0.0716883403326303 51.54179660263614, 0.071354959380984 51.541694352421715)), ((0.0685802775662667 51.536220936351704, 0.068029887757661 51.53615467966189, 0.0690815128149591 51.53733703234311, 0.0682787042105284 51.53814519428001, 0.0669281294742358 51.53985684431887, 0.0666928668588501 51.54114652590712, 0.0682817702256601 51.54428705220727, 0.0683263069926603 51.544414278287725, 0.069366693194864 51.54412831552448, 0.0685929194033586 51.54213247673609, 0.0690951003362418 51.54137632482738, 0.0685032824954254 51.54091914070867, 0.0694153975728043 51.54029874209342, 0.0691258311968952 51.53881104882292, 0.0704504649711611 51.53851160786653, 0.071029177858824 51.53715228443533, 0.0685802775662667 51.536220936351704)))",5.169959873319097e-06,6,E01000008,Barking and Dagenham,423,1,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,1
7,E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1773,1773,0,138.6,638,2.8,128591.52616701521,12.0,95.91666666666667,4.25,0.734444444444444,2.75,0.344063926940639,"POLYGON ((0.0823463989754041 51.542744039424115, 0.0841858451147576 51.54182601852287, 0.0847465626052035 51.54249417931475, 0.086418593611846 51.54179754993666, 0.0864553479259607 51.54177629382316, 0.0861213070408484 51.54153895416982, 0.0864988950135974 51.541251889713166, 0.0850702664267075 51.540357325730305, 0.0867825037868341 51.53944469831975, 0.0861902691046376 51.53901422832583, 0.085773728962443 51.5391788469416, 0.0849177715529522 51.538520291410805, 0.0853140983056749 51.5383615027378, 0.0851193900019352 51.538154461791805, 0.0849715761977528 51.537896263586106, 0.0815582089966638 51.53912707513142, 0.0813328231799765 51.53930552466573, 0.0820680367779232 51.539904289292245, 0.0830219938341753 51.54068398402254, 0.0831817426960279 51.54108923773931, 0.0831249250765526 51.541108232230975, 0.0821023075089201 51.54082063477587, 0.0803439112946952 51.541147433069774, 0.0802531806388644 51.54169875912444, 0.0805104408362077 51.54189879935611, 0.0810220515698346 51.54224317480021, 0.0813609689830774 51.54207682127707, 0.0823463989754041 51.542744039424115))",9.331874624782313e-05,7,E01000009,Barking and Dagenham,827,2,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1
10,E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1901,1895,6,136.8,698,2.7,140353.4493292868,5.0,25.6,1.2,1.956,1.8,0.295890410958904,"POLYGON ((0.078637709820718 51.54357227377018, 0.0786416271368126 51.543276595269944, 0.0777409509780029 51.54279167457812, 0.0771172464622918 51.542565141205095, 0.077029879698488 51.54185479657291, 0.0778320037762215 51.541417923650016, 0.0775972874662357 51.541225868560204, 0.0753608537448966 51.542220629212444, 0.0738519107968315 51.54155275351759, 0.0734986346347422 51.54189928347642, 0.0731982116610167 51.542214473815804, 0.0722929431246871 51.54166004312023, 0.0713549593814956 51.541694352420706, 0.071688340328981 51.54179660263491, 0.0705843563715719 51.542370208318744, 0.0698973429952249 51.5421488279579, 0.0692432995658616 51.54164697254466, 0.0689419567463902 51.542069667023426, 0.069714551542454 51.54406241294083, 0.0708824179664126 51.543827388253355, 0.0714574599669759 51.543640114598624, 0.0743516385853744 51.54389449065954, 0.0763915888991827 51.54441518474514, 0.0768007967563589 51.54458945903995, 0.0775247238171792 51.54453238715739, 0.0776119765465187 51.54440347783498, 0.0777674171077608 51.544209350444724, 0.0779468143009472 51.544088403973184, 0.078637709820718 51.54357227377018))",3.56243471314294e-05,10,E01000012,Barking and Dagenham,639,2,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,1
12,E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1656,1622,34,48.5,638,2.5,340176.8217361308,1.0,22.0,2.0,0.65,2.0,0.975342465753425,"POLYGON ((0.1445908218048911 51.54636747973661, 0.1460096324507248 51.54615535380666, 0.1464446127325202 51.54645742265796, 0.1470537785679415 51.5458758061247, 0.1478280957902363 51.54592497638461, 0.1479260768329702 51.54591499885066, 0.1484976855821982 51.54558006089542, 0.1480824180460235 51.54511544409618, 0.1486137833987228 51.54476809489844, 0.1479235298837766 51.54424498879722, 0.1472857187312976 51.54426838367771, 0.1473463933466944 51.54362941217158, 0.1462158124753558 51.54395223510714, 0.1457768740942081 51.54418254082031, 0.1461913389693225 51.54536233419879, 0.1456390562520512 51.545692653718774, 0.1445088292591411 51.54472971438446, 0.1437657745224937 51.544907873922234, 0.1429722731043166 51.54476549317568, 0.1431734899565442 51.54429455936732, 0.1441635905239479 51.54384794886114, 0.1438525006248165 51.5432533193544, 0.1425732874157248 51.54280473083983, 0.1425743686961453 51.54230400904444, 0.1405588048531109 51.54175785708494, 0.1405697997429865 51.54113386979578, 0.1402274374718882 51.54111485615013, 0.1373141564348698 51.54091696773226, 0.1368478986427643 51.540887072167294, 0.1342221440375187 51.54071863505421, 0.1341770139132864 51.5407157331468, 0.1339128786636875 51.54161715742852, 0.1341891513371268 51.54188065639753, 0.1318863238639094 51.54377237816957, 0.1367455553715009 51.54423181540751, 0.138575406288061 51.545673289784155, 0.1415491574445212 51.54453947740036, 0.1420647390930588 51.54508250100597, 0.1422954730984855 51.545325364901494, 0.1419020965492186 51.54549034528433, 0.142949230851249 51.54662099656468, 0.1445908218048911 51.54636747973661))",2.9396476658709055e-06,12,E01000014,Barking and Dagenham,561,2,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,1
13,E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,2241,2241,0,79.9,836,2.7,279995.86764319346,7.0,75.57142857142857,2.285714285714286,1.656,4.285714285714286,0.73307240704501,"POLYGON ((0.1572261710218558 51.54830728525492, 0.157289879257588 51.547748414369806, 0.1585260731597162 51.547773308747495, 0.1587653021335922 51.54640958590281, 0.1597062568228762 51.54531271164134, 0.16037243828156 51.5444847580876, 0.1614994202526132 51.54388086508843, 0.1615120597358606 51.54331071990077, 0.1606461557841582 51.543142706297026, 0.1579147779447581 51.542659404809655, 0.1571967617306074 51.54253852842805, 0.1552529002329457 51.542255455769194, 0.1545383098216145 51.54215185640357, 0.1516862294038297 51.54186103271711, 0.150679718793162 51.541783780634695, 0.1498353764738561 51.54172414144848, 0.150291521021998 51.542910477576534, 0.1516032535970881 51.54303050739361, 0.15141801807696 51.543984410812904, 0.1519221013599446 51.54406038942366, 0.151815898998669 51.544498498764064, 0.1523270925289582 51.54465165656903, 0.152079102071975 51.54581254907387, 0.1527587115126972 51.54588255202373, 0.1537012955181565 51.54598245341497, 0.1540907780120445 51.54563171287492, 0.154714284655692 51.54574845426196, 0.1566296303858237 51.54486580760905, 0.1572907996702113 51.545354703669254, 0.1576183711199832 51.54583180986035, 0.1568181648399388 51.546213145469856, 0.1567256420654973 51.54700821207974, 0.1560970498604651 51.546659928450694, 0.1545697732574162 51.54747793833941, 0.1544726032634367 51.54754908470917, 0.155764931212729 51.5482797774098, 0.1566991777653325 51.548347056373586, 0.1572261710218558 51.54830728525492))",2.5000368965874507e-05,13,E01000015,Barking and Dagenham,749,2,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,1
15,E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1594,1594,0,100.6,609,2.6,160789.82074164474,3.0,29.333333333333332,3.333333333333333,0.726666666666667,1.666666666666667,0.495890410958904,"POLYGON ((0.1503197972835098 51.550906492773336, 0.1502586766493923 51.549618708682964, 0.1492368412014551 51.549671904073165, 0.1489443639691135 51.55001898929026, 0.1475271843600982 51.54960281914342, 0.1470302489720963 51.54927972087057, 0.1470618722873971 51.54897014898679, 0.1470154257176804 51.548208255533496, 0.1476873053183045 51.547803635812066, 0.147828095790387 51.54592497638371, 0.1470537785659682 51.54587580612318, 0.1464446127353272 51.54645742265745, 0.145505746154766 51.547267162087216, 0.1457541178539568 51.5475816841823, 0.1432882515948996 51.548402807424836, 0.1431069144436125 51.548636615167936, 0.1428877284311723 51.54945606022209, 0.1427712483505868 51.55096176724755, 0.1451026237348382 51.55108648825099, 0.1474138734264716 51.5511508209148, 0.1496812693857207 51.551278573607256, 0.1503197972835098 51.550906492773336))",1.8657897534573198e-05,15,E01000017,Barking and Dagenham,325,1,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,1
16,E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1597,1597,0,91.9,612,2.6,173501.49819910657,2.0,37.5,1.0,4.15,1.5,0.736986301369863,"POLYGON ((0.1523566694103891 51.54896152733134, 0.1525885737149564 51.548554168853315, 0.1536038806131946 51.54867576747551, 0.1538037367082748 51.54789736638884, 0.1544726032621642 51.547549084711015, 0.1545697732585551 51.547477938338076, 0.156097049857403 51.54665992845108, 0.1567256420672512 51.547008212079206, 0.1568181648414252 51.54621314546822, 0.1576183711225674 51.54583180986026, 0.157290799668063 51.545354703669624, 0.1566296303847417 51.544865807608645, 0.1547142846547922 51.545748454259055, 0.1540907780128122 51.54563171287356, 0.1537012955199176 51.54598245341424, 0.1527587115103235 51.545882552024985, 0.1520845717094942 51.54633951817994, 0.1513443570610678 51.5463182577793, 0.1507674062203157 51.54552438458454, 0.1511761401211185 51.544787014059104, 0.1503854231102253 51.54460290558271, 0.1501235136146064 51.54459258067896, 0.1501419013265295 51.54417682910885, 0.1495630850009618 51.54400878591741, 0.1479235298879692 51.544244988797956, 0.1486137834001096 51.54476809489969, 0.1480824180459854 51.54511544409551, 0.1484976855825293 51.545580060896135, 0.1479260768357495 51.5459149988479, 0.1484783066518496 51.546304193964346, 0.1483901181824183 51.54738844559743, 0.1492129541728114 51.547402113904816, 0.1497323519541412 51.54774072661307, 0.1508216911092605 51.5483438169689, 0.1516420124929113 51.548990968737414, 0.1523566694103891 51.54896152733134))",1.1527277981800728e-05,16,E01000018,Barking and Dagenham,781,2,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1
17,E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1407,1407,0,76.5,504,2.8,181817.81303896214,8.0,85.625,3.5,0.86,4.75,0.245547945205479,"POLYGON ((0.119994476045604 51.56082750710101, 0.1212724958413716 51.56036330195411, 0.121764528605547 51.56064097684185, 0.1222362037984294 51.56033318422169, 0.1227235618072702 51.56054722593509, 0.1230854702524234 51.56020452753312, 0.1243201022088894 51.56045447934146, 0.1251236775058648 51.56015540386056, 0.1248040144511986 51.55974109657037, 0.122881245671671 51.5599367854515, 0.1226580388669408 51.55928305715959, 0.1243612918546401 51.55923790206032, 0.1245121529327978 51.55866178214277, 0.1227613748115298 51.558462602674744, 0.122451245003969 51.55791117469598, 0.1227933723292938 51.557556119029066, 0.121949918766369 51.55669847671779, 0.1226885800919852 51.55621467497021, 0.1221009112715861 51.55577077605009, 0.1210055182269199 51.555221693734886, 0.1209780884909372 51.55564604593157, 0.1204126076887098 51.55585855146749, 0.1192844369818391 51.556425544582204, 0.1175118765089481 51.55526029124615, 0.1172206605103683 51.555899510307455, 0.1162071752136692 51.555887104264606, 0.1169570016328877 51.5566355779392, 0.1162061398515731 51.556996919874685, 0.1171510231058461 51.5568915898701, 0.1171316861462441 51.55738753903213, 0.1189376454543087 51.55734763212135, 0.1204881268468765 51.55854150075357, 0.1197808121131189 51.55865424673875, 0.1174783556458256 51.559163396181255, 0.1185906806749162 51.560792335290024, 0.1194961025698962 51.560539561755874, 0.119994476045604 51.56082750710101))",4.400008924475218e-05,17,E01000019,Barking and Dagenham,752,2,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1
