,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
0,0.007,0.01,0.024,-1.654,-2.012,29.472,31.873,2
1,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084,2
2,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535,0
3,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,1
4,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,0
5,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,1
6,0.265,0.151,25.506,0.25,0.353,45.413,30.233,1
7,0.187,0.109,15.713,0.454,0.895,48.119,28.601,1
8,0.169,0.073,11.762,-0.002,1.214,50.58,47.932,0
9,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,1
10,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,1
11,0.213,0.145,24.003,0.67,1.199,45.252,30.424,1
12,0.201,0.135,31.501,0.35,0.825,46.135,25.122,1
13,0.216,0.123,26.013,0.025,0.372,50.4,25.696,1
14,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1
15,0.25,0.169,22.899,0.694,0.317,45.929,27.688,1
16,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1
17,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1
18,0.216,0.131,24.184,0.76,0.651,43.518,30.078,1
19,0.23,0.136,31.637,0.418,0.559,45.544,44.214,1
20,0.195,0.139,27.111,0.427,0.506,44.277,30.435,1
21,0.228,0.108,22.994,0.033,1.286,45.846,39.968,1
22,0.155,0.1,29.298,0.263,0.244,45.704,29.869,1
23,0.219,0.138,25.691,0.395,0.837,47.029,28.042,1
24,0.216,0.146,38.122,0.148,1.042,44.976,20.329,1
25,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,1
26,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,0
27,0.264,0.162,38.753,0.016,0.499,44.592,20.993,1
28,0.126,0.075,12.953,0.046,0.919,34.14,27.703,0
29,0.146,0.106,23.035,0.095,0.913,39.922,38.369,0
30,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1
31,0.216,0.147,33.858,0.661,0.302,45.083,18.01,1
32,0.15,0.092,25.536,0.397,0.242,39.025,23.071,1
33,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,0
34,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,0
35,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,0
36,0.127,0.074,19.753,0.173,0.092,42.779,17.527,0
37,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1
38,0.172,0.105,33.867,0.349,0.432,48.606,33.127,1
39,0.263,0.164,31.45,0.526,0.263,57.015,24.75,1
40,0.147,0.085,28.946,0.044,0.574,42.921,33.853,1
41,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,0
42,0.188,0.125,24.013,0.279,1.214,44.514,35.245,1
43,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,1
44,0.341,0.182,26.49,0.495,0.246,49.012,20.578,1
45,0.29,0.143,27.852,0.409,0.376,55.298,26.588,1
46,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1
47,0.234,0.13,28.197,0.391,0.859,45.996,27.521,1
48,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,1
49,0.229,0.126,27.703,0.701,1.217,49.479,26.503,1
50,0.18,0.096,26.697,0.198,0.514,42.507,31.481,1
51,0.211,0.114,27.143,0.126,0.047,43.185,29.369,1
52,0.197,0.144,25.304,0.455,0.485,51.736,23.506,1
53,0.196,0.118,31.462,0.097,0.644,43.725,30.046,1
54,0.199,0.117,25.845,0.147,0.358,46.251,27.809,1
55,0.176,0.129,28.14,0.136,0.414,45.241,32.699,1
56,0.202,0.129,25.54,0.282,1.109,48.53,24.729,1
57,0.303,0.186,39.776,1.013,0.145,49.627,15.967,1
58,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,1
59,0.181,0.124,37.624,0.286,0.342,41.886,35.452,1
60,0.208,0.13,24.438,0.39,0.212,50.054,34.175,1
61,0.228,0.173,26.185,0.817,0.324,47.453,29.31,1
62,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,0
